name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2021-07-01,31.8,28,30,39.7,33.6,36.6,25.5,77.1,0,0,0,,0,0,38.9,27.3,248,1004.5,52.9,3.4,246.1,21.3,8,,2021-07-01T06:05:02,2021-07-01T19:20:04,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-02,32,28,30,39.7,33.6,36.5,25.3,76,0.2,100,4.17,rain,0,0,40,23.6,236.3,1004.9,60.1,3.4,249,21.4,8,,2021-07-02T06:05:20,2021-07-02T19:20:08,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-03,32.4,28.8,30.3,40.2,34.3,37.3,25.6,75.9,2,100,4.17,rain,0,0,37.1,21.7,247.8,1006,50.4,3.7,255.7,22.1,9,,2021-07-03T06:05:39,2021-07-03T19:20:11,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-04,32.4,28.7,30.4,40.1,34.6,37.3,25.5,75.7,0,0,0,,0,0,28.1,18.1,259.1,1006.6,51,3.5,240.5,20.7,8,,2021-07-04T06:05:58,2021-07-04T19:20:13,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-05,32.7,28,30.6,41.1,34.6,37.8,25.6,75.2,0,0,0,,0,0,31.7,16.6,291.1,1006.3,50,3.4,246.3,21.2,8,,2021-07-05T06:06:18,2021-07-05T19:20:14,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999"
mumbai,2021-07-06,32,27.8,30.2,40.1,32.7,36.9,25.5,76.2,17,100,4.17,rain,0,0,22.3,22.3,295.9,1005.1,59.9,3.4,242.1,20.9,8,,2021-07-06T06:06:38,2021-07-06T19:20:14,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-07,33,28.3,30.6,41.1,33.9,37.8,25.7,75,0.9,100,4.17,rain,0,0,23.4,19.9,293.8,1005.1,52.6,3.6,252.4,21.9,8,,2021-07-07T06:06:58,2021-07-07T19:20:13,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-08,31,26.3,28.7,40.7,26.3,34.9,25.9,85,17,100,8.33,rain,0,0,28.1,14.8,247.5,1004.9,85.3,2.9,203.1,17.5,7,,2021-07-08T06:07:18,2021-07-08T19:20:11,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-09,31,25.8,28.2,38.2,25.8,32.8,25.7,86.8,56.2,100,8.33,rain,0,0,27.7,14.8,152,1003,91.9,3,118.4,10.2,4,,2021-07-09T06:07:39,2021-07-09T19:20:08,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-10,29,25,27.3,35.6,25,30.4,25.1,88.4,32.8,100,16.67,rain,0,0,34.6,16.6,244.3,1002,93.1,2.8,74.9,6.6,4,,2021-07-10T06:08:00,2021-07-10T19:20:04,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-11,30,25.6,27.6,37.5,25.6,31.7,25.8,89.8,13,100,8.33,rain,0,0,33.8,14.1,273.8,1001.3,93.2,3.2,110.9,9.5,4,,2021-07-11T06:08:21,2021-07-11T19:19:59,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-12,30.5,26,27.7,37.4,26,32.3,25.8,89.7,49,100,12.5,rain,0,0,70.2,25.9,269.8,999,93.2,2.7,139.2,12,6,,2021-07-12T06:08:42,2021-07-12T19:19:53,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-13,28,25,26.7,34.6,25,29.2,25.3,92.1,35,100,25,rain,0,0,59.8,22.2,229.3,1001,94.1,2.5,60.9,5.3,2,,2021-07-13T06:09:03,2021-07-13T19:19:46,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2021-07-14,29.3,25,26.4,35.5,25,28,25.2,93.8,73,100,29.17,rain,0,0,50.4,18.4,223,1001.9,95.8,2.6,74.3,6.6,2,,2021-07-14T06:09:24,2021-07-14T19:19:37,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
